customer_id,first_name,last_name,state,total_orders,units_purchased,lifetime_revenue,lifetime_profit,last_order_date,customer_name,repeat_customer
C000037,Lucas,Patel,NC,6,33,5218.88,1704.5299999999997,2026-09-04 18:08:00,Lucas Patel,True
C000038,Liam,Patel,IA,4,25,3144.37,1209.03,2026-09-12 21:42:00,Liam Patel,True
C000039,Noah,Smith,NY,3,19,2185.38,820.28,2026-03-29 16:28:00,Noah Smith,True
C000040,Olivia,Johnson,VA,6,38,5730.04,2142.64,2026-06-06 21:18:00,Olivia Johnson,True
C000041,Olivia,Johnson,IL,7,44,5715.54,2266.71,2026-08-12 20:06:00,Olivia Johnson,True
C000042,Sophia,Brown,NY,3,14,1885.6399999999999,687.9699999999999,2026-04-04 21:08:00,Sophia Brown,True
C000043,Sophia,Taylor,IA,8,54,10843.9,4304.87,2026-09-04 19:34:00,Sophia Taylor,True
C000044,Lucas,Smith,CA,2,20,2270.38,873.49,2026-01-21 17:12:00,Lucas Smith,True
C000045,Ethan,Patel,VA,3,16,2266.25,936.0799999999999,2026-08-12 22:05:00,Ethan Patel,True
C000046,Ava,Smith,MO,1,1,224.83,91.67000000000002,2026-08-18 13:28:00,Ava Smith,False
C000047,Ava,Lee,VA,5,42,6335.25,2186.94,2026-06-29 20:56:00,Ava Lee,True
C000048,Emma,Taylor,MO,2,19,2228.65,727.78,2025-08-14 08:19:00,Emma Taylor,True
C000049,Mia,Thomas,CA,2,9,763.9100000000001,264.08000000000004,2025-08-08 12:46:00,Mia Thomas,True
C000050,Sophia,Brown,IL,2,11,2636.11,887.7,2025-11-13 20:45:00,Sophia Brown,True
C000051,Sophia,Lee,NJ,3,21,3745.1,1563.73,2026-08-29 08:40:00,Sophia Lee,True
C000052,James,Patel,IL,5,25,4309.2,1516.6900000000003,2026-08-09 18:38:00,James Patel,True
C000053,James,Lee,FL,5,18,2891.33,905.87,2026-02-18 16:36:00,James Lee,True
C000054,Liam,Wilson,MO,3,19,2536.71,1042.4699999999998,2026-08-10 12:48:00,Liam Wilson,True
C000055,Mia,Garcia,FL,3,21,2411.02,1000.95,2026-08-18 17:37:00,Mia Garcia,True
C000056,Lucas,Wilson,VA,6,32,5233.25,1992.71,2026-09-12 17:13:00,Lucas Wilson,True
C000057,Olivia,Patel,NJ,4,26,4479.38,1774.09,2026-06-12 09:43:00,Olivia Patel,True
C000058,Mia,Miller,MO,2,12,1429.92,552.19,2026-07-06 22:36:00,Mia Miller,True
C000059,Sophia,Patel,MO,2,22,2849.65,1128.21,2026-08-30 09:45:00,Sophia Patel,True
C000060,Sophia,Garcia,GA,4,14,2144.79,823.0199999999998,2026-09-05 17:49:00,Sophia Garcia,True
C000061,James,Thomas,FL,3,24,3113.65,1248.98,2025-10-04 10:33:00,James Thomas,True
C000062,Emma,Brown,MO,1,7,1088.3600000000001,345.24000000000007,2026-09-05 18:04:00,Emma Brown,False
C000063,Olivia,Patel,PA,1,7,800.39,240.52999999999997,2026-06-23 19:09:00,Olivia Patel,False
C000064,Mason,Davis,GA,4,32,5543.46,1594.74,2026-08-28 17:04:00,Mason Davis,True
C000065,Noah,Johnson,CA,4,28,4546.99,1632.06,2026-03-24 15:53:00,Noah Johnson,True
C000066,Isabella,Brown,VA,5,26,5238.49,1955.1499999999999,2026-02-04 11:48:00,Isabella Brown,True
C000067,Liam,Anderson,NY,5,47,7939.900000000001,2833.1600000000003,2026-08-21 13:18:00,Liam Anderson,True
C000068,Sophia,Taylor,VA,3,18,2886.15,1248.1999999999998,2025-08-07 10:18:00,Sophia Taylor,True
C000069,Isabella,Thomas,MO,4,23,5285.03,2146.84,2026-09-13 20:23:00,Isabella Thomas,True
C000070,Sophia,Johnson,IA,4,42,6330.0,2394.69,2026-06-23 10:24:00,Sophia Johnson,True
C000071,Noah,Patel,NC,2,20,3209.38,1277.6,2026-01-15 08:32:00,Noah Patel,True
C000072,Noah,Smith,NY,5,19,2969.02,1160.6799999999998,2026-07-12 12:32:00,Noah Smith,True
C000073,Mia,Lee,IA,4,28,4646.59,1400.28,2026-04-10 14:55:00,Mia Lee,True
C000074,Ethan,Garcia,MO,7,38,5661.46,1947.5600000000002,2026-07-12 14:04:00,Ethan Garcia,True
C000075,James,Garcia,CA,3,31,6070.88,2269.3500000000004,2026-04-03 17:52:00,James Garcia,True
C000076,Emma,Taylor,CA,3,11,2312.92,1069.17,2026-09-13 18:19:00,Emma Taylor,True
C000077,Emma,Smith,TX,2,18,1857.09,598.42,2026-05-26 09:37:00,Emma Smith,True
C000078,Mia,Garcia,CA,7,57,10014.04,3977.0300000000007,2026-08-29 17:25:00,Mia Garcia,True
C000079,James,Lee,MO,2,14,1843.21,790.3600000000001,2026-09-05 08:06:00,James Lee,True
C000080,Emma,Wilson,NJ,6,35,5374.99,1979.51,2026-04-11 13:16:00,Emma Wilson,True
C000081,Noah,Taylor,GA,4,37,5650.48,2486.2999999999997,2026-05-07 12:15:00,Noah Taylor,True
C000082,Ava,Patel,IA,3,24,2816.2200000000003,1060.1100000000001,2026-04-29 22:14:00,Ava Patel,True
C000083,Isabella,Garcia,TX,7,48,8617.52,3518.83,2026-07-13 22:33:00,Isabella Garcia,True
C000084,Olivia,Thomas,IL,4,25,3564.0099999999998,1402.44,2026-04-05 15:54:00,Olivia Thomas,True
C000085,Noah,Smith,GA,3,13,1967.64,670.24,2026-07-03 15:59:00,Noah Smith,True
C000086,Ethan,Anderson,GA,5,19,3867.55,1147.55,2026-07-14 16:02:00,Ethan Anderson,True
C000087,Ava,Garcia,TX,4,26,5168.22,1816.32,2026-07-30 09:57:00,Ava Garcia,True
C000088,Ethan,Brown,GA,5,30,4249.23,1776.9199999999998,2026-06-22 18:16:00,Ethan Brown,True
C000089,Ethan,Wilson,VA,3,17,2350.1299999999997,1053.6,2026-07-24 16:46:00,Ethan Wilson,True
C000090,Mia,Brown,PA,3,14,3116.61,1334.03,2026-02-05 16:07:00,Mia Brown,True
C000091,Sophia,Patel,TX,7,39,6224.76,2131.5,2026-07-09 10:35:00,Sophia Patel,True
C000092,Sophia,Taylor,NC,2,16,1389.73,469.55000000000007,2026-04-05 18:08:00,Sophia Taylor,True
C000093,James,Smith,TX,5,33,5738.0,2219.28,2026-08-29 19:13:00,James Smith,True
C000094,Lucas,Brown,GA,1,6,611.15,245.26999999999995,2025-02-16 13:31:00,Lucas Brown,False
C000095,Ethan,Garcia,IL,4,24,3221.59,1371.2400000000002,2026-06-22 20:09:00,Ethan Garcia,True
C000096,Isabella,Brown,GA,3,33,4511.37,1561.3500000000001,2026-09-01 20:38:00,Isabella Brown,True
C000097,Noah,Garcia,IA,1,10,1376.15,475.78,2026-02-21 20:18:00,Noah Garcia,False
C000098,Sophia,Taylor,CA,1,3,631.38,149.85000000000002,2025-03-19 09:28:00,Sophia Taylor,False
C000099,Emma,Johnson,VA,4,31,5167.34,2068.04,2025-12-09 09:22:00,Emma Johnson,True
C000100,Mason,Miller,VA,2,12,2531.98,942.77,2026-01-22 13:13:00,Mason Miller,True
C000101,Sophia,Anderson,NC,8,51,9387.55,4052.41,2026-08-14 13:10:00,Sophia Anderson,True
C000102,Liam,Garcia,NY,3,28,5105.45,1949.54,2026-06-19 16:08:00,Liam Garcia,True
C000103,Ava,Wilson,FL,13,92,12885.72,4810.43,2026-08-24 17:24:00,Ava Wilson,True
C000104,Noah,Taylor,FL,3,24,3601.71,1354.65,2026-06-07 17:45:00,Noah Taylor,True
C000105,Isabella,Smith,NC,2,15,3340.76,1422.3200000000002,2025-06-13 18:19:00,Isabella Smith,True
C000106,Isabella,Miller,IA,3,14,2034.9399999999998,734.7499999999999,2025-12-16 16:35:00,Isabella Miller,True
C000107,Emma,Wilson,PA,4,27,4500.14,1653.59,2026-08-18 13:26:00,Emma Wilson,True
C000108,Isabella,Miller,FL,5,31,4929.52,1775.03,2026-08-11 12:23:00,Isabella Miller,True
C000109,Emma,Miller,NY,5,21,2916.22,1184.91,2026-08-19 12:51:00,Emma Miller,True
C000110,Liam,Miller,IA,6,40,5819.67,2014.5700000000002,2026-09-11 20:46:00,Liam Miller,True
C000111,Lucas,Taylor,IL,4,30,3963.2,1371.4799999999998,2026-07-02 16:27:00,Lucas Taylor,True
C000112,James,Johnson,IL,2,15,1894.1599999999999,821.41,2025-05-25 16:54:00,James Johnson,True
C000113,Isabella,Taylor,CA,4,27,3981.73,1447.6200000000001,2026-03-08 11:17:00,Isabella Taylor,True
C000114,Isabella,Garcia,MO,4,17,3557.81,1344.1200000000001,2026-08-28 09:56:00,Isabella Garcia,True
C000115,Mia,Patel,MO,4,14,2248.53,891.44,2026-07-19 14:23:00,Mia Patel,True
C000116,Mason,Smith,IL,5,17,2515.86,955.2800000000001,2026-06-29 12:54:00,Mason Smith,True
C000117,Mason,Brown,NJ,5,43,7392.76,2937.5,2026-03-20 09:23:00,Mason Brown,True
C000119,Sophia,Brown,VA,2,8,1829.4299999999998,807.64,2026-05-12 09:56:00,Sophia Brown,True
C000120,Olivia,Davis,PA,2,10,1580.71,549.76,2026-09-10 11:02:00,Olivia Davis,True
C000121,Noah,Davis,MO,4,24,3028.5099999999998,1118.2099999999998,2026-08-20 13:25:00,Noah Davis,True
C000122,Isabella,Wilson,IL,3,14,1859.3899999999999,574.38,2026-08-18 17:11:00,Isabella Wilson,True
C000123,Mason,Thomas,IL,7,48,6141.74,2240.46,2026-07-17 13:50:00,Mason Thomas,True
C000124,Lucas,Johnson,CA,6,35,5167.94,1950.81,2026-05-07 09:25:00,Lucas Johnson,True
C000125,Liam,Taylor,IA,2,8,1777.3,739.6,2025-09-02 17:16:00,Liam Taylor,True
C000126,Lucas,Taylor,CA,2,15,1483.83,530.67,2025-03-29 11:30:00,Lucas Taylor,True
C000127,Noah,Thomas,IL,4,29,4218.73,1686.95,2026-08-05 19:42:00,Noah Thomas,True
C000128,Ethan,Lee,IA,4,33,4706.54,1649.7900000000002,2026-09-09 20:15:00,Ethan Lee,True
C000130,Noah,Miller,MO,3,18,3323.46,1278.16,2025-12-19 20:15:00,Noah Miller,True
C000131,Lucas,Miller,CA,4,29,4149.35,1575.01,2026-01-14 09:36:00,Lucas Miller,True
C000132,Sophia,Anderson,FL,3,17,2634.09,896.86,2026-07-07 22:05:00,Sophia Anderson,True
C000133,Sophia,Davis,NY,6,45,8610.21,3306.4700000000003,2026-08-03 16:31:00,Sophia Davis,True
C000134,Sophia,Miller,IA,3,19,2043.17,831.3000000000001,2026-02-07 11:54:00,Sophia Miller,True
C000135,Emma,Miller,MO,2,12,2306.3199999999997,906.9200000000001,2026-04-27 08:14:00,Emma Miller,True
C000136,Ethan,Taylor,FL,3,15,1806.8,819.43,2026-05-28 22:45:00,Ethan Taylor,True
C000137,Lucas,Johnson,TX,6,31,5915.36,2061.38,2026-08-12 15:20:00,Lucas Johnson,True
C000138,Mason,Taylor,NY,4,27,4325.38,1746.0,2026-07-31 10:17:00,Mason Taylor,True
C000139,Sophia,Johnson,NJ,4,16,1982.8799999999999,560.9799999999998,2026-07-17 21:27:00,Sophia Johnson,True
C000140,Emma,Miller,GA,6,35,6733.35,2781.09,2026-07-05 08:30:00,Emma Miller,True
C000141,Ethan,Lee,IL,3,13,2021.71,601.92,2025-12-10 20:35:00,Ethan Lee,True
C000142,Emma,Smith,FL,5,40,4483.19,1901.1499999999999,2026-04-19 16:33:00,Emma Smith,True
C000143,Olivia,Patel,PA,5,30,4975.69,1914.6499999999999,2026-07-18 14:55:00,Olivia Patel,True
C000144,Noah,Taylor,NJ,3,21,4347.1900000000005,1596.6100000000001,2026-01-19 13:58:00,Noah Taylor,True
C000145,Liam,Brown,GA,2,9,733.17,280.77,2026-05-15 22:12:00,Liam Brown,True
C000146,Liam,Johnson,TX,1,1,143.41,32.14,2025-07-06 21:14:00,Liam Johnson,False
C000147,Mason,Brown,VA,6,45,7569.76,3107.13,2026-09-07 13:42:00,Mason Brown,True
C000148,Ethan,Johnson,IA,3,12,1702.3499999999997,653.9299999999998,2026-06-23 12:37:00,Ethan Johnson,True
C000149,Emma,Smith,TX,4,19,2022.9399999999998,657.56,2026-06-01 17:23:00,Emma Smith,True
C000150,Isabella,Miller,NY,7,32,5335.65,1951.8899999999999,2026-05-24 10:28:00,Isabella Miller,True
C000151,Noah,Anderson,MO,1,13,1252.0800000000002,474.05000000000007,2025-03-18 08:09:00,Noah Anderson,False
C000152,Emma,Taylor,PA,2,8,1758.1499999999999,658.6500000000001,2025-10-02 16:29:00,Emma Taylor,True
C000153,Ava,Lee,NY,7,39,7346.96,2946.21,2026-03-26 22:47:00,Ava Lee,True
C000154,Noah,Wilson,NC,3,16,1279.66,387.38,2026-01-30 13:01:00,Noah Wilson,True
C000156,Lucas,Thomas,NJ,3,27,5318.92,2174.58,2026-06-19 16:18:00,Lucas Thomas,True
C000157,James,Wilson,TX,6,30,4366.55,1532.41,2025-12-18 15:52:00,James Wilson,True
C000158,Lucas,Davis,CA,4,36,6365.86,2237.15,2026-06-28 09:42:00,Lucas Davis,True
C000159,Mason,Garcia,PA,2,12,2176.07,796.4100000000001,2025-12-04 13:48:00,Mason Garcia,True
C000160,Noah,Garcia,MO,8,46,5608.57,1876.5400000000002,2026-09-04 08:58:00,Noah Garcia,True
C000161,Mason,Anderson,IL,3,9,960.8100000000001,358.03000000000003,2026-08-16 15:38:00,Mason Anderson,True
C000162,Lucas,Lee,GA,4,14,1067.06,388.97,2026-02-23 19:25:00,Lucas Lee,True
C000163,Ethan,Garcia,MO,4,31,3605.27,1272.8999999999999,2026-02-21 11:04:00,Ethan Garcia,True
C000164,James,Garcia,NY,3,9,1229.67,525.4799999999999,2026-08-19 19:19:00,James Garcia,True
C000165,Noah,Brown,MO,5,22,2657.54,1094.23,2025-12-26 15:23:00,Noah Brown,True
C000166,Liam,Thomas,CA,6,35,4987.1,2013.82,2026-07-06 17:01:00,Liam Thomas,True
C000167,Lucas,Davis,PA,6,33,5637.14,2395.54,2025-07-25 15:26:00,Lucas Davis,True
C000168,Liam,Miller,IA,5,46,7624.63,3262.43,2026-05-24 16:41:00,Liam Miller,True
C000169,Mason,Lee,NJ,5,30,4545.04,1693.05,2026-04-28 08:05:00,Mason Lee,True
C000170,Ethan,Miller,CA,4,30,5059.06,1903.0600000000002,2026-08-16 17:05:00,Ethan Miller,True
C000171,Lucas,Garcia,PA,5,35,5296.26,1803.33,2026-05-15 14:44:00,Lucas Garcia,True
C000172,Noah,Thomas,MO,4,21,3592.58,1249.06,2026-01-08 08:55:00,Noah Thomas,True
C000173,James,Wilson,VA,3,20,3640.84,1012.74,2026-07-01 16:00:00,James Wilson,True
C000174,James,Davis,MO,2,20,3377.12,1098.16,2026-04-24 22:55:00,James Davis,True
C000175,Olivia,Anderson,NY,5,35,4762.46,1943.63,2026-09-01 12:52:00,Olivia Anderson,True
C000176,Emma,Brown,MO,2,13,1226.7,521.62,2025-11-21 15:00:00,Emma Brown,True
C000177,Ava,Thomas,IA,8,50,9307.64,3551.6,2026-07-24 13:44:00,Ava Thomas,True
C000178,Ava,Wilson,GA,3,25,4801.45,2062.25,2026-03-16 09:50:00,Ava Wilson,True
C000179,Isabella,Davis,TX,2,12,2625.69,1034.46,2026-08-22 20:13:00,Isabella Davis,True
C000180,Mason,Garcia,GA,5,38,7389.79,3122.34,2026-06-26 15:28:00,Mason Garcia,True
C000181,Ethan,Johnson,IL,5,16,1665.98,581.9100000000001,2025-11-23 09:27:00,Ethan Johnson,True
C000182,Noah,Smith,IL,6,34,4648.87,1970.8300000000002,2026-05-03 15:26:00,Noah Smith,True
C000183,Mason,Taylor,VA,1,3,297.84000000000003,102.24000000000001,2025-09-30 15:06:00,Mason Taylor,False
C000184,Mason,Garcia,TX,5,16,2800.0299999999997,920.8199999999999,2026-05-03 22:47:00,Mason Garcia,True
C000185,Olivia,Miller,VA,5,31,3813.34,1427.3799999999999,2026-07-14 22:47:00,Olivia Miller,True
C000186,Sophia,Davis,CA,9,53,9059.75,3629.57,2026-06-08 16:23:00,Sophia Davis,True
C000187,Sophia,Garcia,NY,3,24,4085.5699999999997,1514.1800000000003,2026-05-20 19:55:00,Sophia Garcia,True
C000188,Noah,Brown,PA,4,28,4122.14,1562.91,2026-09-06 11:50:00,Noah Brown,True
C000189,Noah,Johnson,NJ,5,26,3959.3500000000004,1268.6200000000001,2026-08-05 08:17:00,Noah Johnson,True
C000190,Noah,Johnson,CA,8,46,5722.9400000000005,2335.83,2026-07-07 13:32:00,Noah Johnson,True
C000191,James,Anderson,IL,1,6,1203.81,475.56,2025-03-08 12:43:00,James Anderson,False
C000192,Liam,Garcia,GA,4,37,6178.92,2268.23,2026-03-04 10:47:00,Liam Garcia,True
C000193,Noah,Taylor,IL,3,20,3076.61,1186.38,2025-12-19 11:01:00,Noah Taylor,True
C000194,Mason,Taylor,NJ,7,32,3496.44,1274.68,2026-08-26 18:44:00,Mason Taylor,True
C000195,Olivia,Brown,VA,2,10,819.37,312.61,2026-09-06 16:04:00,Olivia Brown,True
C000196,Noah,Patel,TX,1,3,511.61,227.21999999999997,2025-06-11 12:31:00,Noah Patel,False
C000197,Mason,Thomas,IA,1,7,1290.26,515.44,2025-05-06 21:29:00,Mason Thomas,False
C000198,Lucas,Thomas,VA,4,26,3668.9500000000003,1439.98,2026-01-09 22:24:00,Lucas Thomas,True
C000199,Emma,Wilson,FL,3,31,6577.29,2641.85,2026-01-31 20:37:00,Emma Wilson,True
C000200,Mason,Patel,VA,4,28,3444.34,1417.45,2026-04-09 11:04:00,Mason Patel,True
C000201,Mason,Garcia,NC,3,21,2556.36,1066.31,2025-04-03 15:33:00,Mason Garcia,True
C000202,Isabella,Anderson,MO,5,30,4784.2,1885.01,2026-05-19 18:23:00,Isabella Anderson,True
C000203,Emma,Anderson,NJ,1,7,987.99,405.35,2025-10-14 15:23:00,Emma Anderson,False
C000204,Lucas,Wilson,TX,3,20,2173.23,969.6699999999998,2026-04-12 19:13:00,Lucas Wilson,True
C000205,Mason,Miller,TX,5,25,3769.71,1578.4,2026-01-04 22:53:00,Mason Miller,True
C000206,Ethan,Miller,IL,4,22,3843.5,1650.19,2026-06-07 15:23:00,Ethan Miller,True
C000207,Noah,Johnson,NJ,3,14,2501.56,959.19,2025-06-27 15:19:00,Noah Johnson,True
C000208,Lucas,Garcia,PA,2,8,1487.9700000000003,694.3300000000002,2026-04-03 18:10:00,Lucas Garcia,True
C000209,Ava,Davis,CA,3,23,2963.2,1200.33,2026-09-11 20:09:00,Ava Davis,True
C000210,Ethan,Smith,IA,2,6,975.96,409.72,2026-08-04 10:51:00,Ethan Smith,True
C000211,Ava,Taylor,CA,2,3,91.05,46.85999999999999,2026-09-11 15:13:00,Ava Taylor,True
C000212,Liam,Wilson,GA,5,28,4011.2799999999997,1454.81,2026-05-15 19:47:00,Liam Wilson,True
C000213,Isabella,Davis,IL,4,28,4234.1,1759.4299999999998,2026-01-25 08:00:00,Isabella Davis,True
C000214,Olivia,Johnson,IA,4,23,3537.7599999999998,1501.49,2025-08-31 11:51:00,Olivia Johnson,True
C000215,Lucas,Smith,PA,3,20,3468.0,1108.32,2026-08-15 09:48:00,Lucas Smith,True
C000216,Liam,Thomas,NY,7,57,9300.51,3632.8900000000003,2026-07-22 14:04:00,Liam Thomas,True
C000217,Ava,Wilson,CA,6,44,6633.5199999999995,2437.36,2026-07-14 13:43:00,Ava Wilson,True
C000218,Noah,Davis,MO,1,7,869.4,192.20999999999998,2026-09-09 09:10:00,Noah Davis,False
C000219,Lucas,Thomas,TX,3,28,4874.47,1962.39,2026-08-12 16:28:00,Lucas Thomas,True
C000220,Emma,Miller,PA,6,37,5851.47,2136.63,2026-04-13 15:08:00,Emma Miller,True
C000221,Lucas,Wilson,MO,2,8,2023.72,821.88,2026-03-09 22:50:00,Lucas Wilson,True
C000222,Mason,Wilson,MO,4,18,3211.95,962.8399999999999,2026-05-24 11:51:00,Mason Wilson,True
C000223,Emma,Miller,VA,2,19,3389.5,1310.74,2026-09-02 15:15:00,Emma Miller,True
C000224,Emma,Patel,CA,1,1,108.36,35.44,2025-07-09 19:43:00,Emma Patel,False
C000225,Mason,Anderson,IA,4,24,3255.25,1226.83,2026-06-08 18:55:00,Mason Anderson,True
C000226,Lucas,Wilson,TX,4,34,5631.91,2511.84,2025-11-11 17:31:00,Lucas Wilson,True
C000227,Olivia,Wilson,NC,4,27,4331.5,1637.8700000000001,2026-04-22 11:45:00,Olivia Wilson,True
C000228,Liam,Thomas,NC,4,18,3268.9,1120.25,2026-07-26 13:31:00,Liam Thomas,True
C000229,Liam,Miller,FL,3,27,4109.65,1559.04,2026-05-22 13:30:00,Liam Miller,True
C000230,Lucas,Thomas,PA,1,8,588.34,256.12,2025-08-19 12:42:00,Lucas Thomas,False
C000231,Isabella,Johnson,NJ,5,37,5518.29,2089.07,2026-06-19 19:12:00,Isabella Johnson,True
C000232,Olivia,Anderson,TX,5,30,5602.26,2183.99,2026-08-03 08:10:00,Olivia Anderson,True
C000233,Lucas,Smith,VA,1,6,449.52,106.11999999999996,2025-08-25 09:08:00,Lucas Smith,False
C000234,Mia,Miller,PA,5,43,5914.31,2390.2200000000003,2026-08-07 19:09:00,Mia Miller,True
C000236,Ethan,Taylor,VA,3,25,4009.07,1554.2200000000003,2026-05-09 21:28:00,Ethan Taylor,True
C000237,James,Davis,NJ,3,22,3310.08,1302.52,2026-07-01 15:03:00,James Davis,True
C000238,Liam,Taylor,VA,4,27,5509.2699999999995,2121.7599999999998,2026-07-13 19:46:00,Liam Taylor,True
C000239,Noah,Miller,PA,6,22,5473.08,2283.75,2026-06-01 13:41:00,Noah Miller,True
C000240,James,Smith,NJ,5,34,6031.25,2195.1,2026-03-19 08:05:00,James Smith,True
C000241,Emma,Patel,PA,5,34,6249.79,2389.69,2026-06-15 15:08:00,Emma Patel,True
C000242,Emma,Lee,GA,1,2,213.02,85.92000000000002,2025-10-28 19:37:00,Emma Lee,False
C000243,Liam,Wilson,TX,2,18,2233.23,470.59999999999997,2026-03-09 19:46:00,Liam Wilson,True
C000244,Mia,Johnson,NJ,3,15,3335.0699999999997,1169.67,2026-03-03 15:42:00,Mia Johnson,True
C000245,Sophia,Anderson,NY,3,20,2028.9099999999999,892.6800000000001,2026-08-30 17:08:00,Sophia Anderson,True
C000246,Mia,Brown,NY,4,15,2567.96,1085.06,2026-07-27 13:50:00,Mia Brown,True
C000247,Lucas,Garcia,IA,2,12,1720.8999999999999,527.28,2025-09-22 09:48:00,Lucas Garcia,True
C000248,Emma,Taylor,IL,5,40,5906.65,2172.88,2026-06-14 22:59:00,Emma Taylor,True
C000249,Ethan,Anderson,IL,6,31,4648.88,1940.45,2026-07-29 20:32:00,Ethan Anderson,True
C000250,James,Garcia,FL,7,57,10304.35,3682.95,2026-09-05 10:22:00,James Garcia,True
C000251,Liam,Miller,IA,5,25,2613.27,1099.77,2026-08-16 18:25:00,Liam Miller,True
C000252,Sophia,Anderson,MO,2,6,1603.65,730.9300000000001,2026-08-05 11:58:00,Sophia Anderson,True
C000253,James,Garcia,IA,4,19,2353.11,967.07,2026-08-01 18:00:00,James Garcia,True
C000254,Sophia,Garcia,NJ,4,29,5150.59,1997.2900000000002,2026-07-06 22:50:00,Sophia Garcia,True
C000255,James,Patel,NJ,3,21,3329.43,1233.21,2026-09-03 08:23:00,James Patel,True
C000256,Liam,Anderson,IA,3,15,987.1600000000001,413.76,2026-05-24 13:42:00,Liam Anderson,True
C000257,Liam,Anderson,NJ,3,7,1063.07,397.76,2026-07-02 16:32:00,Liam Anderson,True
C000258,Isabella,Taylor,PA,6,60,8411.47,3428.5499999999997,2026-02-04 10:13:00,Isabella Taylor,True
C000259,Isabella,Taylor,VA,1,4,364.99,110.40999999999998,2026-02-05 13:32:00,Isabella Taylor,False
